"ID","family","joint","model","component","state","weight","location","log_scale","mean_rate","direction","rho"
"elk-163","lognormal",TRUE,"H2",2,2,1,-2.58031431641364,-0.0878252833884228,0.115226124800307,3.11095579854026,0.358010659058668
"elk-163","lognormal",TRUE,"H3",1,1,1,-2.59924926904665,-0.145336603838876,0.108027520066655,3.07184380759622,0.334864279754012
"elk-163","lognormal",TRUE,"H3",2,2,1,-1.21054696298417,0.680768907411079,2.09708399194568,-3.03126643455884,0.266623752792521
"elk-163","lognormal",TRUE,"H3",3,3,1,2.41743442631268,-1.8232659614036,11.3642804053123,-0.190977695214884,0.299072369956832
"elk-287","lognormal",TRUE,"M21",1,1,0.318666012685421,1.56743553982266,-0.269457909640517,6.41812320650848,0.039471520849337,0.633623217114122
"elk-287","lognormal",TRUE,"M21",2,1,0.681333987314579,-2.2172380677857,0.11039652641645,0.203171383144956,1.7009844631003,0.0907500428692168
"elk-287","lognormal",TRUE,"M21",3,2,1,-1.25555326117694,-0.193816757271954,0.40002719262035,2.75457935848832,0.353400120935713
"elk-287","lognormal",TRUE,"H2",1,1,1,-1.69605895655898,0.12001143720316,0.346310384264747,2.58086699067783,0.216132744785566
"elk-287","lognormal",TRUE,"H2",2,2,1,1.56015407880877,-0.192630274076079,6.68783873819873,-0.0049979226753936,0.679329646729814
"elk-287","lognormal",TRUE,"H3",1,1,1,-2.23853596297718,0.0991939049198749,0.196161229693833,1.89590816528194,0.0968484298582316
"elk-287","lognormal",TRUE,"H3",2,2,1,-1.25423005226116,-0.194590276080192,0.400346805035211,2.74837469795969,0.353335576297524
"elk-287","lognormal",TRUE,"H3",3,3,1,1.50676007689496,-0.18364211329825,6.37935156074311,0.029680780210216,0.646182806867616
"elk-363","lognormal",TRUE,"M21",1,1,0.516131139877635,-4.88275023089346,-0.284165828849563,0.0100567083182118,1.31494800428264,0.311095431284624
"elk-363","lognormal",TRUE,"M21",2,1,0.483868860122365,1.82055619345109,-0.659792706024503,7.05812355984312,-0.300491418586752,0.64474485344206
"elk-363","lognormal",TRUE,"M21",3,2,1,-1.08694472887718,0.215861467945974,0.728337654252545,3.05638640293692,0.223491081567991
"elk-363","lognormal",TRUE,"H2",1,1,1,-4.80670572074721,-0.357937058755787,0.0104377798506494,1.57164720766822,0.339329184218128
"elk-363","lognormal",TRUE,"H2",2,2,1,-0.952287455509525,0.360886017180359,1.07977320819263,3.07365949498634,0.152851400414978
"elk-363","lognormal",TRUE,"H3",1,1,1,-4.89914127037705,-0.282562190905718,0.00990221765241666,1.39246494111656,0.292755117935982
"elk-363","lognormal",TRUE,"H3",2,2,1,1.69896593494645,-0.61481190758358,6.32915801402187,-0.396879368875783,0.67194150728924
"elk-363","lognormal",TRUE,"H3",3,3,1,-1.14053358575064,0.196048734438674,0.669989925953256,3.03739056689543,0.236092302150325
"elk-115","truncated_normal",FALSE,"M21",1,1,0.130393923238299,1.73617698820692,-0.601413643992866,5.59964252048386,0,0
"elk-115","truncated_normal",FALSE,"M21",2,1,0.869606076761701,0.256414700612017,-0.817034896294307,0.677223051850794,0,0
"elk-115","truncated_normal",FALSE,"M21",3,2,1,-2.97224403918478,-1.73475934557077,0.0105106407251554,0,0
"elk-115","truncated_normal",FALSE,"H2",1,1,1,-0.251618484194496,-2.99573227355399,0.00935672409889188,0,0
"elk-115","truncated_normal",FALSE,"H2",2,2,1,-2.40196395190972,0.395816823605409,1.30801386239412,0,0
"elk-115","truncated_normal",FALSE,"H3",1,1,1,-1.90450008173813,0.514566820870417,2.33009716720478,0,0
"elk-115","truncated_normal",FALSE,"H3",2,2,1,0.400280309327811,-1.21394481352695,0.626070294069914,0,0
"elk-115","truncated_normal",FALSE,"H3",3,3,1,-2.999999999,-1.72390112009371,0.0106431730576666,0,0
"elk-163","truncated_normal",FALSE,"M21",1,1,0.686897837200737,-3,0.020970453910282,0.402599191524466,0,0
"elk-163","truncated_normal",FALSE,"M21",2,1,0.313102162799263,1.8901505997847,-0.473700435840783,7.04538764245314,0,0
"elk-163","truncated_normal",FALSE,"M21",3,2,1,-0.393267918982819,-1.36701171945004,0.122052172874777,0,0
"elk-163","truncated_normal",FALSE,"H2",1,1,1,-3,-0.339592176474358,0.180359693413465,0,0
"elk-163","truncated_normal",FALSE,"H2",2,2,1,1.37799350584514,-0.0979388681842619,5.34609566103371,0,0
"elk-163","truncated_normal",FALSE,"H3",1,1,1,0.00133487510053497,-2.25656605302231,0.0898966614318095,0,0
"elk-163","truncated_normal",FALSE,"H3",2,2,1,-3,0.135294119604216,0.529152469494461,0,0
"elk-163","truncated_normal",FALSE,"H3",3,3,1,2.04887992650677,-0.629123842334321,7.94424469208254,0,0
"elk-287","truncated_normal",FALSE,"M21",1,1,0.591330446117345,0.0872830178721481,-2.5280687714207,0.115935303479305,0,0
"elk-287","truncated_normal",FALSE,"M21",2,1,0.408669553882655,1.54281507442282,-0.259234393679496,5.42874634869308,0,0
"elk-287","truncated_normal",FALSE,"M21",3,2,1,0.223499216426452,-1.43379392712936,0.371297132825054,0,0
"elk-287","truncated_normal",FALSE,"H2",1,1,1,-0.851223882948813,-0.569165973934675,0.316039581094487,0,0
"elk-287","truncated_normal",FALSE,"H2",2,2,1,1.89579019841675,-0.608899116840789,6.72103600485766,0,0
"elk-287","truncated_normal",FALSE,"H3",1,1,1,0.225205213695708,-1.43566890754631,0.372325462907158,0,0
"elk-287","truncated_normal",FALSE,"H3",2,2,1,1.48369454205982,-0.205703561664403,5.33215761348538,0,0
"elk-287","truncated_normal",FALSE,"H3",3,3,1,0.0877611664787406,-2.57972041871349,0.113347452402084,0,0
"elk-363","truncated_normal",FALSE,"M21",1,1,0.753552501093134,-0.272267221097891,-1.20084784582414,0.190100842534327,0,0
"elk-363","truncated_normal",FALSE,"M21",2,1,0.246447498906866,1.58264385300287,-0.621497810707465,4.63087228123913,0,0
"elk-363","truncated_normal",FALSE,"M21",3,2,1,0.366362180283469,-1.10532438350421,0.627566506013604,0,0
"elk-363","truncated_normal",FALSE,"H2",1,1,1,-3,0.495734458906173,1.41512168615426,0,0
"elk-363","truncated_normal",FALSE,"H2",2,2,1,-0.016487337897209,-1.84214817071274,0.133221269293744,0,0
"elk-363","truncated_normal",FALSE,"H3",1,1,1,-3,0.161693223234917,0.564702969184639,0,0
"elk-363","truncated_normal",FALSE,"H3",2,2,1,-0.230763322987178,-2.99573227355399,0.0100942555427423,0,0
"elk-363","truncated_normal",FALSE,"H3",3,3,1,1.85152033523107,-0.79739136944272,6.04990317682916,0,0
"elk-115","truncated_normal",TRUE,"M21",1,1,0.725298154137681,-3,0.52368877852479,1.54580168217654,1.2093795757165,0
