"T","rep","seed","logLik_gauss_K2","logLik_gauss_K3","logLik_mix_K2_M2","BIC_gauss_K2","BIC_gauss_K3","BIC_mix_K2_M2","delta_BIC_gauss_K3_minus_K2","delta_BIC_mix_K2_minus_gauss_K3","gaussian_BIC_favours_K3","enriched_BIC_favours_K2_mix","mix_state1_mean","mix_state2_mean","mix_state1_occ","mix_state2_occ"
500,77,26260687,-665.140536658331,-632.043305901858,-633.824528991669,1373.78333000562,1351.09112518163,1348.43896326283,-22.6922048239915,-2.65216191879995,TRUE,TRUE,-0.517441509379425,3.80120683913102,0.309489908689859,0.69051009131014
500,78,26260688,-753.390590525819,-694.724225901935,-695.856006290824,1550.28343774059,1476.45296518178,1472.50191786114,-73.8304725588114,-3.95104732064488,TRUE,TRUE,-0.59132475844436,3.8556065809551,0.47796289500152,0.52203710499848
500,79,26260689,-662.133884928749,-656.272521989997,-623.113606032677,1367.77002654645,1399.5495573579,1327.01711734484,31.7795308114505,-72.5324400130621,FALSE,TRUE,-0.516296739160426,3.75272237326347,0.286730478917317,0.713269521082683
500,80,26260690,-632.723142660397,-582.749350988458,-587.817887910216,1308.94854200975,1252.50321535483,1256.42568109992,-56.4453266549224,3.92246574509363,TRUE,FALSE,-0.577798076484214,3.80561897123824,0.2859604755568,0.7140395244432
500,81,26260691,-735.429423635645,-683.861846642134,-681.632276492288,1514.36110396024,1454.72820666218,1444.05445826407,-59.6328972980662,-10.673748398113,TRUE,TRUE,-0.487934593036337,3.86332497686228,0.38802021802245,0.611979781977549
500,82,26260692,-703.461512317381,-693.674071083273,-648.063271405865,1450.42528132372,1474.35265554446,1376.91644809122,23.9273742207392,-97.4362074532387,FALSE,TRUE,-0.460121309293029,3.75808775271465,0.372294045431338,0.627705954568662
500,83,26260693,-750.236192858938,-698.877706810478,-699.778835291556,1543.97464240683,1484.75992699887,1480.3475758626,-59.2147154079648,-4.41235113626612,TRUE,TRUE,-0.516257431712961,3.78355467601985,0.436569309637875,0.563430690362125
500,84,26260694,-773.248548367452,-690.597581878702,-691.04698713284,1589.99935342386,1468.19967713532,1462.88387954517,-121.799676288545,-5.3157975901463,TRUE,TRUE,-0.524911887263986,3.8540837385363,0.607668093495316,0.392331906504684
500,85,26260695,-711.997086673841,-680.160247857041,-680.370683585214,1467.49643003664,1447.32500909199,1441.53127244992,-20.1714209446445,-5.79373664207606,TRUE,TRUE,-0.4667397432681,3.80483368890332,0.440912965541894,0.559087034458106
500,86,26260696,-770.543739370198,-693.851545562087,-692.4642699169,1584.58973542935,1474.70760450208,1465.71844511329,-109.882130927266,-8.98915938879622,TRUE,TRUE,-0.532666826954479,3.81684997067734,0.529840509230471,0.470159490769529
500,87,26260697,-684.809798414853,-631.710164620116,-632.969638257245,1413.12185351866,1350.42484261814,1346.72918179398,-62.6970109005176,-3.69566082416509,TRUE,TRUE,-0.536468351842137,3.78458728260407,0.42198319902722,0.578016800972779
500,88,26260698,-720.129204163137,-663.399871868501,-663.3328496615,1483.76066501523,1413.80425711491,1407.45560460249,-69.9564079003169,-6.34865251242513,TRUE,TRUE,-0.484111419637763,3.77331465891471,0.403679555991735,0.596320444008265
500,89,26260699,-730.315499063723,-726.603945172466,-678.148678338089,1504.1332548164,1540.21240372284,1437.08726195567,36.07914890644,-103.125141767176,FALSE,TRUE,-0.500963883234543,3.82131922633469,0.404282682361489,0.595717317638511
500,90,26260700,-739.351440274772,-693.027291733347,-692.974297747605,1522.2051372385,1473.0590968446,1466.7385007747,-49.1460403938961,-6.32059606990492,TRUE,TRUE,-0.582273713613176,3.7416395622712,0.434052807986539,0.565947192013461
500,91,26260701,-716.661133242958,-661.583794049577,-661.42092649719,1476.82452317487,1410.17210147706,1403.63175827387,-66.652421697808,-6.54034320319579,TRUE,TRUE,-0.607542490421793,3.77270847412431,0.373349985436986,0.626650014563014
500,92,26260702,-783.827357122795,-707.079474252416,-706.869155846396,1611.15697093454,1501.16346188274,1494.52821697228,-109.993509051802,-6.63524491046178,TRUE,TRUE,-0.486572254504144,3.79843598944103,0.515224701909044,0.484775298090956
500,93,26260703,-681.458707893167,-674.771389248603,-629.249989978694,1406.41967247529,1436.54729187512,1339.28988523688,30.1276193998278,-97.2574066382394,FALSE,TRUE,-0.388171282210404,3.81166396735837,0.300228030417737,0.699771969582263
500,94,26260704,-762.456231437708,-684.233210374249,-686.240623596483,1568.41471956437,1455.47093412641,1453.27115247246,-112.943785437963,-2.19978165395332,TRUE,TRUE,-0.512865985905946,3.75847321151793,0.559942178844349,0.440057821155651
500,95,26260705,-681.846965749145,-640.649053421297,-638.874707156152,1407.19618818725,1368.3026202205,1358.53931959179,-38.8935679667411,-9.7633006287117,TRUE,TRUE,-0.509705039371011,3.8443705475234,0.356033612906991,0.64396638709301
500,96,26260706,-721.867363726971,-680.436987982064,-679.538228292933,1487.2369841429,1447.87848934204,1439.86636186535,-39.3584948008606,-8.01212747668274,TRUE,TRUE,-0.540942608769003,3.75666737891272,0.374016220485882,0.625983779514119
500,97,26260707,-773.590851206274,-709.78468655265,-709.68793156871,1590.6839591015,1506.57388648321,1500.16576841691,-84.1100726182917,-6.40811806630222,TRUE,TRUE,-0.531512999221011,3.84531087005293,0.548638653508181,0.45136134649182
500,98,26260708,-741.698068828588,-673.686856400654,-673.215038457291,1526.89839434613,1434.37822617922,1427.21998219407,-92.5201681669121,-7.15824398514815,TRUE,TRUE,-0.584494533634267,3.84656694664213,0.540619227200193,0.459380772799806
500,99,26260709,-734.05962431668,-677.387170937887,-677.30510370209,1511.62150532231,1441.77885525369,1435.40011268367,-69.8426500686292,-6.37874257001772,TRUE,TRUE,-0.566173162601653,3.80431129359748,0.4295672558233,0.5704327441767
500,100,26260710,-739.940651780169,-677.252328069171,-677.898405848292,1523.38356024929,1441.50916951625,1436.58671697607,-81.8743907330406,-4.92245254018053,TRUE,TRUE,-0.516416724000033,3.80031375506477,0.463719949189211,0.536280050810789
500,101,26260711,-748.767986015118,-685.600902619705,-686.573433540516,1541.03822871919,1458.20631861732,1453.93677236052,-82.8319101018706,-4.269546256799,TRUE,TRUE,-0.521454750633859,3.84305417020147,0.580542389914117,0.419457610085882
500,102,26260712,-766.791162973431,-701.483990372868,-699.802884105984,1577.08458263582,1489.97249412365,1480.39567349146,-87.1120885121722,-9.57682063218954,TRUE,TRUE,-0.579520300673864,3.75592956856507,0.512280834509837,0.487719165490163
500,103,26260713,-705.245316367719,-699.464119345535,-646.166534905883,1453.99288942439,1485.93275206898,1373.12297509125,31.9398626445873,-112.809776977727,FALSE,TRUE,-0.493503327015672,3.7097961561989,0.411923406310952,0.588076593689048
500,104,26260714,-731.703015228161,-689.50893557187,-689.167448691263,1506.90828714528,1466.02238452165,1459.12480266201,-40.8859026236253,-6.89758185963797,TRUE,TRUE,-0.6145684513188,3.78597217276338,0.464652842976237,0.535347157023763
500,105,26260715,-724.30184718394,-671.148844984028,-670.27818677379,1492.10595105684,1429.30220334597,1421.34627882707,-62.8037477108687,-7.95592451889956,TRUE,TRUE,-0.515212408349859,3.83838368757065,0.449980290251496,0.550019709748504
500,106,26260716,-680.823430037627,-645.297343454623,-645.348896283153,1405.14911676421,1377.59920028716,1371.48769784579,-27.5499164770513,-6.1115024413632,TRUE,TRUE,-0.55166406155031,3.75272681480324,0.298016215045065,0.701983784954935
500,107,26260717,-773.058818569933,-707.634542550255,-708.20288931326,1589.61989382882,1502.27359847842,1497.19568390601,-87.3462953504009,-5.07791457241251,TRUE,TRUE,-0.415712280249579,3.8073633858783,0.609931821936085,0.390068178063915
500,108,26260718,-749.64910642302,-690.018638088487,-692.558606318478,1542.800469535,1467.04178955488,1465.90711791645,-75.7586799801109,-1.13467163843939,TRUE,TRUE,-0.522719987257305,3.87508399592009,0.434812453233471,0.565187546766529
500,109,26260719,-649.745279980669,-613.930212666501,-615.437073303318,1342.99281665029,1314.86493871091,1311.66405188612,-28.1278779393815,-3.20088682478786,TRUE,TRUE,-0.498240826324593,3.84891707222273,0.28990304243367,0.71009695756633
500,110,26260720,-751.015842567379,-702.842584583447,-703.793519970538,1545.53394182371,1492.6896825448,1488.37694522056,-52.8442592789092,-4.31273732424074,TRUE,TRUE,-0.576813299347875,3.81602593470585,0.507996963505984,0.492003036494016
500,111,26260721,-667.390859100154,-635.636297194448,-638.955532834319,1378.28397488926,1358.27710776681,1358.70097094813,-20.0068671224581,0.423863181321394,TRUE,FALSE,-0.715688617474258,3.76322814437344,0.313621140674242,0.686378859325757
