"Package","Version","Built"
"crosstalk","1.2.1","4.5.0"
"ctmm","1.3.0","4.5.2"
"curl","6.2.2","4.5.0"
"cylcop","0.2.1","4.5.0"
"DAAG","1.25.6","4.5.0"
"dagitty","0.3-4","4.5.0"
"data.table","1.18.0","4.5.2"
"datamods","1.5.3","4.5.0"
"datasets","4.5.0","4.5.0"
"datawizard","1.2.0","4.5.0"
"DBI","1.2.3","4.5.0"
"dbplyr","2.5.0","4.5.0"
"dbscan","1.2.2","4.5.0"
"DDoutlier","0.1.0","4.5.0"
"deldir","2.0-4","4.5.0"
"DEoptimR","1.1-4","4.5.0"
"Deriv","4.2.0","4.5.0"
"desc","1.4.3","4.5.0"
"deSolve","1.40","4.5.0"
"devtools","2.4.5","4.5.0"
"dfidx","0.2-0","4.5.0"
"DHARMa","0.4.7","4.5.0"
"diagram","1.6.5","4.5.0"
"dials","1.4.0","4.5.0"
"DiceDesign","1.10","4.5.0"
"diffobj","0.3.6","4.5.0"
"digest","0.6.39","4.5.2"
"diptest","0.77-1","4.5.0"
"discovr","0.2.2","4.5.0"
"distill","1.6","4.5.0"
"distributional","0.5.0","4.5.0"
"doBy","4.7.0","4.5.0"
"doFuture","1.0.2","4.5.0"
"doParallel","1.0.17","4.5.0"
"doRNG","1.8.6.2","4.5.0"
"downlit","0.4.4","4.5.0"
"downloader","0.4.1","4.5.0"
"dplyr","1.2.1","4.5.2"
"dqrng","0.4.1","4.5.0"
"dreamerr","1.5.0","4.5.0"
"dslabs","0.9.0","4.5.0"
"DT","0.33","4.5.0"
"dtplyr","1.3.1","4.5.0"
"dygraphs","1.1.1.6","4.5.0"
"e1071","1.7-17","4.5.2"
"editData","0.1.8","4.5.0"
"effects","4.2-4","4.5.0"
"effectsize","1.0.1","4.5.0"
"ellipsis","0.3.2","4.5.0"
"elliptic","1.4-0","4.5.0"
"ellmer","0.1.1","4.5.0"
"emmeans","1.11.2","4.5.0"
"emoji","16.0.0","4.5.0"
"esquisse","2.1.0","4.5.0"
"estimability","1.5.1","4.5.0"
"estimatr","1.0.6","4.5.0"
"evaluate","1.0.5","4.5.0"
"expm","1.0-0","4.5.0"
"fansi","1.0.6","4.5.0"
"farff","1.1.1","4.5.0"
"farver","2.1.2","4.5.0"
"fastmap","1.2.0","4.5.0"
"fasttime","1.1-0","4.5.0"
"feather","0.3.5","4.5.0"
"fitdistrplus","1.2-5","4.5.2"
"fixest","0.12.1","4.5.0"
"flexdashboard","0.6.2","4.5.0"
"flexmix","2.3-20","4.5.0"
"flextable","0.9.9","4.5.0"
"float","0.3-3","4.5.0"
"flock","0.7","4.5.0"
"FNN","1.1.4.1","4.5.0"
"fontawesome","0.5.3","4.5.0"
"fontBitstreamVera","0.1.1","4.5.0"
"fontLiberation","0.1.0","4.5.0"
"fontquiver","0.2.1","4.5.0"
"forcats","1.0.1","4.5.0"
"foreach","1.5.2","4.5.0"
