"ID","floor","fraction","n_train","model","log_likelihood","n_parameters","BIC","converged","relative_gain","iterations","n_modes","modes","floor_hits","min_transition","max_self","refined_within_001","refined_total"
"elk-363",0.1,1,217,"M22",-45.9697004028654,13,161.878066401757,TRUE,7.92251695752736e-09,93,2,"0.14286;1.00846",1,0.0783922503860888,0.921607749613911,7,20
"elk-363",0.1,1,217,"G2",-79.9947849796992,7,197.648851434182,TRUE,1.61750116254572e-09,10,2,"0.15574;0.90675",1,0.309675547089416,0.690324452910584,19,20
"elk-363",0.1,1,217,"G3",-46.4505180266895,14,168.219599002946,TRUE,5.97364003462689e-09,23,2,"0.14367;1.39629",1,2.01096231172964e-08,0.807924485459936,21,21
"elk-363",0.1,1,217,"G4",-36.7059388532358,23,197.149516837902,TRUE,6.97381088733205e-09,213,2,"0.14021;1.08609",1,3.52735739566792e-12,0.769917051905649,15,21
"elk-115",0.05,0.6,115,"M21",-47.0846006761465,10,141.618522635926,TRUE,2.39565997670211e-09,10,3,"0.07088;0.42554;1.33731",1,0.169413354101153,0.830586645898847,20,20
"elk-115",0.05,0.6,115,"M22",-42.5724921753183,13,146.829102019359,TRUE,1.98260790598513e-09,11,4,"0.07092;0.43132;1.15011;2.1825",1,0.136751148790497,0.863248851209503,20,20
"elk-115",0.05,0.6,115,"G2",-57.1696879281961,7,147.553900754935,TRUE,3.2059899218215e-09,8,2,"0.34028;1.25793",0,0.174001927691658,0.825998072308342,20,20
"elk-115",0.05,0.6,115,"G3",-43.7373189692375,14,153.90368773556,TRUE,3.99280000613544e-09,18,3,"0.07258;0.4262;1.31912",1,0.103457418632726,0.776102902429335,21,21
"elk-115",0.05,0.6,115,"G4",-33.0288427719526,23,175.19112449626,TRUE,7.95289373480763e-09,137,3,"0.09011;0.45644;2.30678",0,2.32330251295592e-12,0.926176469559325,20,21
"elk-163",0.05,0.6,94,"M21",-30.6483627844584,10,106.729673391617,TRUE,5.33537475810506e-09,24,3,"0.08799;0.3403;1.78343",0,0.221719781340986,0.778280218659014,20,20
"elk-163",0.05,0.6,94,"M22",-23.876287405917,13,106.815406981344,TRUE,6.73135587503305e-09,39,3,"0.09012;0.34579;2.04334",0,0.0586694843759743,0.941330515624026,2,20
"elk-163",0.05,0.6,94,"G2",-39.3780972870052,7,110.5592580499,TRUE,1.34024722600077e-09,9,2,"0.10522;1.41911",0,0.278118864957674,0.721881135042326,20,20
"elk-163",0.05,0.6,94,"G3",-24.6265073218415,14,112.859141595463,TRUE,4.06531336052405e-09,16,3,"0.0867;0.36356;2.01176",0,1.31515686098706e-11,0.774437664767608,21,21
"elk-163",0.05,0.6,94,"G4",-16.8715187450636,23,138.238817482337,TRUE,7.01648173831168e-09,25,3,"0.08593;0.8236;2.08135",0,8.28154317487145e-12,0.74950754678372,2,21
"elk-287",0.05,0.6,97,"M21",-19.2909287497506,10,84.328967284535,TRUE,2.52730128545486e-10,5,3,"0.10753;0.52653;1.62746",1,0.236014258863885,0.763985741136115,6,20
"elk-287",0.05,0.6,97,"M22",-17.2716456007066,13,94.0145339219571,TRUE,5.13447020862205e-09,36,3,"0.086;0.69907;1.93729",2,0.275292609958243,0.724707390041757,12,20
"elk-287",0.05,0.6,97,"G2",-22.5139784441181,7,77.0509337377599,TRUE,2.37946215834896e-10,2,2,"0.10708;1.52896",0,0.275613418886274,0.724386581113726,20,20
"elk-287",0.05,0.6,97,"G3",-16.0321822153324,14,96.1103181297122,TRUE,2.6896501863455e-09,14,3,"0.10777;0.6093;1.68245",0,2.1954492626116e-11,0.724732818080162,20,21
"elk-287",0.05,0.6,97,"G4",-9.2078820153114,23,123.634116536201,TRUE,3.13675892737407e-09,15,3,"0.11164;0.5968;1.69527",1,2.1210824888276e-11,0.813323211835685,20,21
