"ID","floor","fraction","n_train","model","state","component","mean","sd","weight","occupation","self_transition"
"elk-363",0.025,1,217,"G2",2,1,0.904707674799853,0.618542969757486,1,0.447525031475494,0.609887892094126
"elk-363",0.025,1,217,"G3",1,1,0.126684912311561,0.0864542746052703,1,0.400518598999011,0.804127943848923
"elk-363",0.025,1,217,"G3",2,1,0.381679917162054,0.20859167297747,1,0.390330122347504,0.80084652283996
"elk-363",0.025,1,217,"G3",3,1,1.38738295810109,0.579173979412225,1,0.209151278653484,0.362197614640986
"elk-363",0.025,1,217,"G4",1,1,0.00897376446050018,0.025,1,0.0504565292654178,0.999999999966022
"elk-363",0.025,1,217,"G4",2,1,0.146277014623507,0.0791815351228922,1,0.382428958574167,0.7359959936364
"elk-363",0.025,1,217,"G4",3,1,0.404662401215536,0.210942145322644,1,0.361816304517243,0.786012970836612
"elk-363",0.025,1,217,"G4",4,1,1.39840400490205,0.578104155245021,1,0.205298207643173,0.370861561904691
"elk-115",0.05,1,193,"M21",1,1,0.458075459480323,0.242590716417126,1,0.516930928712154,0.95837809277809
"elk-115",0.05,1,193,"M21",2,1,0.0791590499076961,0.0722673534164802,0.3750755079659,0.483069071287846,0.954848755459074
"elk-115",0.05,1,193,"M21",2,2,1.09326318115295,0.702765278436435,0.6249244920341,0.483069071287846,0.954848755459074
"elk-115",0.05,1,193,"M22",1,1,0.0569982392710026,0.05,0.201643389386361,0.835445226138522,0.900124798783369
"elk-115",0.05,1,193,"M22",1,2,0.461393409729349,0.238113952714385,0.798356610613639,0.835445226138522,0.900124798783369
"elk-115",0.05,1,193,"M22",2,1,1.28132540074892,0.22107001955708,0.696046977335577,0.164554773861478,0.464584620655722
"elk-115",0.05,1,193,"M22",2,2,2.34059330040875,0.222910185753765,0.303953022664423,0.164554773861478,0.464584620655722
"elk-115",0.05,1,193,"G2",1,1,0.371957949355779,0.265079000636844,1,0.788216772873815,0.88830006020291
"elk-115",0.05,1,193,"G2",2,1,1.35983413691558,0.669147436475736,1,0.211783227126185,0.562731189149899
"elk-115",0.05,1,193,"G3",1,1,0.0273187139950848,0.05,1,0.100240954770435,0.697515529746111
"elk-115",0.05,1,193,"G3",2,1,0.430414589076091,0.255510675524996,1,0.718142755391291,0.890822083328391
"elk-115",0.05,1,193,"G3",3,1,1.48299521724202,0.626866248478283,1,0.181616289838274,0.522029960678407
"elk-115",0.05,1,193,"G4",1,1,0.0359773756908531,0.05,1,0.133589767677381,0.551396738064087
"elk-115",0.05,1,193,"G4",2,1,0.308395488997366,0.154256835430053,1,0.423503843137995,0.696479168138985
"elk-115",0.05,1,193,"G4",3,1,0.759229818743895,0.289461238729633,1,0.339626662215671,0.668581844922904
"elk-115",0.05,1,193,"G4",4,1,1.8193819817414,0.574477066919934,1,0.103279726968952,0.626862600192859
"elk-163",0.05,1,158,"M21",1,1,0.0620279280057185,0.05,0.629879937824437,0.707244334687716,0.787027939689072
"elk-163",0.05,1,158,"M21",1,2,0.257712697763223,0.110256165645331,0.370120062175563,0.707244334687716,0.787027939689072
"elk-163",0.05,1,158,"M21",2,1,1.48616545639302,0.78368145515923,1,0.292755665312284,0.468509735063243
"elk-163",0.05,1,158,"M22",1,1,0.0636938515509192,0.05,0.766546627785871,0.61864735494166,0.76326015281105
"elk-163",0.05,1,158,"M22",1,2,0.237631635129247,0.05,0.233453372214129,0.61864735494166,0.76326015281105
"elk-163",0.05,1,158,"M22",2,1,0.459826268388469,0.209274382783269,0.446094532124015,0.38135264505834,0.603354713224217
"elk-163",0.05,1,158,"M22",2,2,1.83410549609423,0.631452662442598,0.553905467875985,0.38135264505834,0.603354713224217
"elk-163",0.05,1,158,"G2",1,1,0.112787121975342,0.0934087368136589,1,0.645483393943177,0.768609288581511
"elk-163",0.05,1,158,"G2",2,1,1.29012367168977,0.832324167659221,1,0.354516606056823,0.565054854243429
