"ID","floor","fraction","n_train","model","stage","start","log_likelihood","iterations","relative_gain","converged","minimum_transition","maximum_self_transition","floor_hits"
"elk-163",0.05,0.8,126,"M22","screen",96,-30.4205086247275,70,0.00424540816302314,FALSE,0.278491687018874,0.721508312981126,1
"elk-163",0.05,0.8,126,"M22","screen",97,-31.6584817958729,67,6.31614046941326e-05,FALSE,0.268462981972116,0.731537018027884,1
"elk-163",0.05,0.8,126,"M22","screen",98,-32.4457894342996,70,0.00147072426713444,FALSE,0.236011309992363,0.763988690007637,1
"elk-163",0.05,0.8,126,"M22","screen",99,-32.4899404438856,70,0.00146115307861887,FALSE,0.234360084287181,0.765639915712819,1
"elk-163",0.05,0.8,126,"M22","screen",100,-31.658494516689,70,6.3339205446886e-05,FALSE,0.268461402265608,0.731538597734392,1
"elk-163",0.05,0.8,126,"M22","screen",101,-29.7248418135136,42,6.0757394155731e-05,FALSE,0.284021475889212,0.715978524110788,1
"elk-163",0.05,0.8,126,"M22","screen",102,-29.7256864049141,50,7.34638963267728e-05,FALSE,0.283984403408896,0.716015596591104,1
"elk-163",0.05,0.8,126,"M22","screen",103,-29.7256181308323,51,7.33327466675118e-05,FALSE,0.283990734019495,0.716009265980505,1
"elk-163",0.05,0.8,126,"M22","screen",104,-31.672493793891,70,0.000239841504422703,FALSE,0.267259557811426,0.732740442188574,1
"elk-163",0.05,0.8,126,"M22","screen",105,-31.816885204887,70,0.00106744564517593,FALSE,0.260699451210106,0.739300548789894,1
"elk-163",0.05,0.8,126,"M22","screen",106,-29.7262965437948,37,6.88742159831038e-05,FALSE,0.28385594230932,0.71614405769068,1
"elk-163",0.05,0.8,126,"M22","screen",107,-32.3473475249556,70,0.00146639254533276,FALSE,0.239711032212651,0.760288967787348,1
"elk-163",0.05,0.8,126,"M22","screen",108,-31.6581219505776,38,5.82184107576279e-05,FALSE,0.268504997289749,0.731495002710251,1
"elk-163",0.05,0.8,126,"M22","screen",109,-29.7241442557323,48,5.71663305900517e-05,FALSE,0.284114240133204,0.715885759866796,1
"elk-163",0.05,0.8,126,"M22","screen",110,-31.6578352256903,27,6.18750683039136e-05,FALSE,0.268630871035853,0.731369128964147,1
"elk-163",0.05,0.8,126,"M22","screen",111,-31.6567259152801,44,4.77824399924219e-05,FALSE,0.26892647374749,0.73107352625251,1
"elk-163",0.05,0.8,126,"M22","screen",112,-29.7660683442131,70,0.000575728895941511,FALSE,0.282581914881573,0.717418085118427,1
"elk-163",0.05,0.8,126,"M22","screen",113,-29.7241784237557,69,5.93516535387872e-05,FALSE,0.284126279922007,0.715873720077993,1
"elk-163",0.05,0.8,126,"M22","screen",114,-29.7255687985502,68,7.38638889338081e-05,FALSE,0.284003252970673,0.715996747029327,1
"elk-163",0.05,0.8,126,"M22","screen",115,-32.3316121628253,70,0.00146257222395778,FALSE,0.240306737292591,0.759693262707409,1
"elk-163",0.05,0.8,126,"M22","screen",116,-29.886057331635,70,0.00187742612604559,FALSE,0.281160385351092,0.718839614648908,1
"elk-163",0.05,0.8,126,"M22","screen",117,-29.731896281135,46,7.32325473072142e-05,FALSE,0.282609817892179,0.717390182107821,1
"elk-163",0.05,0.8,126,"M22","screen",118,-31.6577294166535,61,5.25844053395966e-05,FALSE,0.268560232341472,0.731439767658528,1
"elk-163",0.05,0.8,126,"M22","screen",119,-29.7275520976668,42,6.71835225796609e-05,FALSE,0.283441227945203,0.716558772054796,1
"elk-163",0.05,0.8,126,"M22","screen",120,-29.7247044991591,66,5.85273557523839e-05,FALSE,0.283993958778596,0.716006041221404,1
"elk-163",0.05,0.8,126,"M22","screen",121,-31.6579011897357,54,5.50207586783782e-05,FALSE,0.268536891363712,0.731463108636288,1
"elk-163",0.05,0.8,126,"M22","screen",122,-31.7755779432927,70,0.000939589379111733,FALSE,0.262375859238628,0.737624140761372,1
"elk-163",0.05,0.8,126,"M22","screen",123,-31.6559504310002,56,3.57967540457694e-05,FALSE,0.26935706426864,0.73064293573136,1
"elk-163",0.05,0.8,126,"M22","screen",124,-29.7350116850365,36,8.26717451788145e-05,FALSE,0.282159256397316,0.717840743602684,1
"elk-163",0.05,0.8,126,"M22","screen",125,-31.7271659858865,70,0.000702865550520114,FALSE,0.264432223655261,0.735567776344739,1
"elk-163",0.05,0.8,126,"M22","screen",126,-29.7254602352708,67,6.98015204237237e-05,FALSE,0.283977289268134,0.716022710731866,1
"elk-163",0.05,0.8,126,"M22","screen",127,-29.7560910718905,70,0.000450778719177508,FALSE,0.282799900025674,0.717200099974325,1
"elk-163",0.05,0.8,126,"M22","screen",128,-29.7653904642206,70,0.000567565178277753,FALSE,0.282598043100403,0.717401956899597,1
"elk-163",0.05,0.8,126,"M22","screen",129,-29.7268869976868,51,6.77989820102486e-05,FALSE,0.283606421890395,0.716393578109605,1
"elk-163",0.05,0.8,126,"M22","screen",130,-29.7256044808642,64,7.09270020371888e-05,FALSE,0.283959763158055,0.716040236841945,1
"elk-163",0.05,0.8,126,"M22","screen",131,-31.6579967768704,40,5.80297478126791e-05,FALSE,0.268504733630565,0.731495266369435,1
"elk-163",0.05,0.8,126,"M22","screen",132,-31.6588960955086,69,6.89298085056988e-05,FALSE,0.268412668457345,0.731587331542655,1
"elk-163",0.05,0.8,126,"M22","screen",133,-31.6577503504457,52,5.28820128475171e-05,FALSE,0.268557347333278,0.731442652666722,1
"elk-163",0.05,0.8,126,"M22","screen",134,-29.7248942295334,52,6.56011420137951e-05,FALSE,0.284054332146202,0.715945667853799,1
"elk-163",0.05,0.8,126,"M22","screen",135,-29.918411304803,70,0.00213907961132922,FALSE,0.280504376825603,0.719495623174397,1
"elk-163",0.05,0.8,126,"M22","screen",136,-32.151607999961,70,0.00137750655503721,FALSE,0.247271050176829,0.752728949823171,1
"elk-163",0.05,0.8,126,"M22","screen",137,-29.7268934694777,38,7.04058708228799e-05,FALSE,0.283847985724657,0.716152014275343,1
"elk-163",0.05,0.8,126,"M22","screen",138,-29.7798170208054,70,0.000742108786518113,FALSE,0.282302212080967,0.717697787919033,1
"elk-163",0.05,0.8,126,"M22","screen",139,-30.2411179513378,70,0.00385083763949985,FALSE,0.279140741547473,0.720859258452528,1
"elk-163",0.05,0.8,126,"M22","screen",140,-29.7248802046987,57,6.44728964530726e-05,FALSE,0.284037312987642,0.715962687012358,1
"elk-163",0.05,0.8,126,"M22","screen",141,-32.2373613104642,70,0.00142509847541147,FALSE,0.243914947978789,0.756085052021211,1
"elk-163",0.05,0.8,126,"M22","screen",142,-31.6577192865998,54,5.24471261626767e-05,FALSE,0.268561358783891,0.73143864121611,1
"elk-163",0.05,0.8,126,"M22","screen",143,-29.7256232428332,56,6.24125832336937e-05,FALSE,0.283828288839058,0.716171711160942,1
"elk-163",0.05,0.8,126,"M22","screen",144,-29.7267984189351,47,7.20768630235189e-05,FALSE,0.283694035383801,0.716305964616199,1
"elk-163",0.05,0.8,126,"M22","screen",145,-29.7262888792613,52,6.22824518455424e-05,FALSE,0.283661569767131,0.716338430232869,1
"elk-163",0.05,0.8,126,"M22","screen",146,-29.7290602069348,33,7.13770665409325e-05,FALSE,0.284654564905673,0.715345435094327,1
"elk-163",0.05,0.8,126,"M22","screen",147,-29.730875242979,30,7.69989801957859e-05,FALSE,0.283486882024523,0.716513117975478,1
"elk-163",0.05,0.8,126,"M22","screen",148,-32.3157113946264,70,0.00145791779397827,FALSE,0.240910393952263,0.759089606047737,1
"elk-163",0.05,0.8,126,"M22","screen",149,-29.7255068216497,59,7.18732257286079e-05,FALSE,0.283993719649604,0.716006280350396,1
"elk-163",0.05,0.8,126,"M22","screen",150,-29.7241942509982,58,5.90980590350841e-05,FALSE,0.28412065042455,0.71587934957545,1
"elk-163",0.05,0.8,126,"M22","screen",151,-31.6575518548078,35,5.25672397108866e-05,FALSE,0.268571792396921,0.731428207603079,1
"elk-163",0.05,0.8,126,"M22","screen",152,-29.7279851123691,42,6.53468647901088e-05,FALSE,0.283313047153887,0.716686952846113,1
"elk-163",0.05,0.8,126,"M22","screen",153,-29.7249628292443,54,6.30512234140349e-05,FALSE,0.283998421301814,0.716001578698186,1
"elk-163",0.05,0.8,126,"M22","screen",154,-32.3873428869932,70,0.00147234363275959,FALSE,0.238203221148319,0.761796778851681,1
"elk-163",0.05,0.8,126,"M22","screen",155,-29.8302719157868,70,0.00132301867050009,FALSE,0.281672496590807,0.718327503409192,1
"elk-163",0.05,0.8,126,"M22","screen",156,-29.7271082710001,49,7.49806378783244e-05,FALSE,0.283663579679708,0.716336420320292,1
"elk-163",0.05,0.8,126,"M22","screen",157,-31.6583546278174,58,6.13863378759702e-05,FALSE,0.268478726251366,0.731521273748634,1
"elk-163",0.05,0.8,126,"M22","screen",158,-29.7251553196558,55,5.93565075543427e-05,FALSE,0.283895663026065,0.716104336973935,1
"elk-163",0.05,0.8,126,"M22","screen",159,-29.7294853649592,41,7.590169418135e-05,FALSE,0.283135215807409,0.716864784192591,1
"elk-163",0.05,0.8,126,"M22","screen",160,-29.7251754224273,49,6.2830166224753e-05,FALSE,0.284020411057602,0.715979588942398,1
"elk-163",0.05,0.8,126,"M22","screen",161,-29.7273472253326,70,9.29931757842331e-05,FALSE,0.283864402345692,0.716135597654308,1
"elk-163",0.05,0.8,126,"M22","screen",162,-31.8438053071033,70,0.0011263714518889,FALSE,0.259619698569336,0.740380301430664,1
"elk-163",0.05,0.8,126,"M22","screen",163,-29.7276194917658,53,7.62606673917303e-05,FALSE,0.283562883400213,0.716437116599787,1
"elk-163",0.05,0.8,126,"M22","screen",164,-29.725147388372,64,6.08935761822294e-05,FALSE,0.28392150289997,0.71607849710003,1
"elk-163",0.05,0.8,126,"M22","screen",165,-29.7255927638104,50,7.22451198263823e-05,FALSE,0.283981435140343,0.716018564859657,1
"elk-163",0.05,0.8,126,"M22","screen",166,-29.7259236787085,57,6.32117801405336e-05,FALSE,0.28376728807146,0.71623271192854,1
"elk-163",0.05,0.8,126,"M22","screen",167,-31.6587691537321,50,6.71675309258533e-05,FALSE,0.268427851028138,0.731572148971862,1
"elk-163",0.05,0.8,126,"M22","screen",168,-29.7245399718773,65,6.29519576086325e-05,FALSE,0.284091608642671,0.715908391357329,1
"elk-163",0.05,0.8,126,"M22","screen",169,-32.1814983213499,70,0.00139479275005404,FALSE,0.246092882297174,0.753907117702826,1
"elk-163",0.05,0.8,126,"M22","screen",170,-31.6578252662184,52,5.39389110089021e-05,FALSE,0.268547379721923,0.731452620278077,1
"elk-163",0.05,0.8,126,"M22","screen",171,-32.5040887527974,40,6.10570289286839e-05,FALSE,0.270370564817657,0.729629435182343,1
"elk-163",0.05,0.8,126,"M22","screen",172,-32.2618271849574,70,0.000729724271019337,FALSE,0.27265147177321,0.72734852822679,1
"elk-163",0.05,0.8,126,"M22","screen",173,-29.7354025796822,47,8.52335275975108e-05,FALSE,0.282119992454084,0.717880007545916,1
"elk-163",0.05,0.8,126,"M22","screen",174,-29.7256090703908,65,7.43092693808612e-05,FALSE,0.284000088967865,0.715999911032135,1
"elk-163",0.05,0.8,126,"M22","screen",175,-31.656094100487,49,3.87115215051926e-05,FALSE,0.269304810610267,0.730695189389733,1
"elk-163",0.05,0.8,126,"M22","screen",176,-29.7252987805422,27,7.40584919014527e-05,FALSE,0.284235065846615,0.715764934153385,1
"elk-163",0.05,0.8,126,"M22","screen",177,-31.8595220877855,70,0.00115417238465537,FALSE,0.258990768804832,0.741009231195168,1
"elk-163",0.05,0.8,126,"M22","screen",178,-29.7271348765216,65,7.33154478344609e-05,FALSE,0.28363245368731,0.71636754631269,1
"elk-163",0.05,0.8,126,"M22","screen",179,-32.4054485875078,70,0.00147317830564563,FALSE,0.23752305290553,0.76247694709447,1
"elk-163",0.05,0.8,126,"M22","screen",180,-32.4711140369269,70,0.00146611195003129,FALSE,0.235063959684373,0.764936040315627,1
"elk-163",0.05,0.8,126,"M22","screen",181,-29.7306392482677,37,7.234025305557e-05,FALSE,0.2828537160451,0.7171462839549,1
"elk-163",0.05,0.8,126,"M22","screen",182,-29.7254133236565,65,7.04808049706802e-05,FALSE,0.28399655706363,0.71600344293637,1
"elk-163",0.05,0.8,126,"M22","screen",183,-29.7297775639837,48,7.00749410344654e-05,FALSE,0.282986378684684,0.717013621315316,1
"elk-163",0.05,0.8,126,"M22","screen",184,-32.3090813810266,70,0.00145575177242636,FALSE,0.24116263748009,0.75883736251991,1
"elk-163",0.05,0.8,126,"M22","screen",185,-29.7362193661408,32,8.24670530856532e-05,FALSE,0.28232109184264,0.71767890815736,1
