"T","rep","seed","logLik_gauss_K2_old","logLik_gauss_K3_old","logLik_mix_K2_M2_old","BIC_gauss_K2_old","BIC_gauss_K3_old","BIC_mix_K2_M2_old","delta_BIC_gauss_K3_minus_K2_old","delta_BIC_mix_K2_minus_gauss_K3_old","gaussian_BIC_favours_K3_old","enriched_BIC_favours_K2_mix_old","mix_state1_mean_old","mix_state2_mean_old","mix_state1_occ_old","mix_state2_occ_old","logLik_gauss_K2_new","logLik_gauss_K3_new","logLik_mix_K2_M2_new","BIC_gauss_K2_new","BIC_gauss_K3_new","BIC_mix_K2_M2_new","delta_BIC_gauss_K3_minus_K2_new","delta_BIC_mix_K2_minus_gauss_K3_new","gaussian_BIC_favours_K3_new","enriched_BIC_favours_K2_mix_new","mix_state1_mean_new","mix_state2_mean_new","mix_state1_occ_new","mix_state2_occ_new"
1500,113,36260723,-2247.96983261693,-2098.35863597402,-2098.12598561618,4547.13220794349,4299.10235736731,4291.32383626454,-248.029850576175,-7.77852110277581,TRUE,TRUE,-0.519769592852986,3.76641872526579,0.507902581291888,0.492097418708112,-2247.96983261693,-2098.35844200456,-2098.09942033293,4547.13220794349,4299.10196942838,4291.27070569804,-248.030238515112,-7.83126373033701,TRUE,TRUE,-0.519692199298037,3.76649080155046,0.507919426180228,0.492080573819772
1500,114,36260724,-2159.40250359986,-2019.67029055468,-2020.9471854181,4369.99754990935,4141.72566652862,4136.96623586837,-228.271883380728,-4.75943066025229,TRUE,TRUE,-0.555691573089439,3.79341809231297,0.399362147108358,0.600637852891641,-2159.40250359986,-2019.67003248606,-2020.9383709123,4369.99754990935,4141.72515039138,4136.94860685677,-228.272399517966,-4.77654353460821,TRUE,TRUE,-0.55573900093663,3.79339647224014,0.399355766217278,0.600644233782722
1500,115,36260725,-2075.08206458614,-1945.80933252402,-1944.29470068248,4201.35667188191,3994.0037504673,3983.66126639712,-207.352921414614,-10.3424840701741,TRUE,TRUE,-0.447561398733809,3.80625541428883,0.399581024193397,0.600418975806602,-2075.08206458614,-1945.80923617183,-1944.04051049574,4201.35667188191,3994.00355776293,3983.15288602365,-207.353114118986,-10.8506717392779,TRUE,TRUE,-0.44766319280734,3.80620455383117,0.399566362988393,0.600433637011607
1500,116,36260726,-2237.02685937241,-2113.34326110051,-2112.29500782247,4525.24626145445,4329.07160762028,4319.66188067711,-196.174653834169,-9.40972694317406,TRUE,TRUE,-0.507373234652944,3.82404126521886,0.39774794957617,0.60225205042383,-2237.0268593685,-2113.34282053684,-2112.26381814527,4525.24626144662,4329.07072649294,4319.59950132271,-196.175534953685,-9.47122517023035,TRUE,TRUE,-0.507635083334016,3.82391712476814,0.397708976637867,0.602291023362133
1500,117,36260727,-2124.85370214042,-2001.82681601448,-1998.15740860561,4300.89994699047,4106.03871744822,4091.38668224338,-194.861229542244,-14.6520352048396,TRUE,TRUE,-0.532001707317305,3.81846004469623,0.368861197627986,0.631138802372015,-2124.85370214042,-2001.82654060165,-1998.13991338273,4300.89994699047,4106.03816662256,4091.35169179764,-194.861780367909,-14.6864748249186,TRUE,TRUE,-0.531977420611308,3.81849088625987,0.368867805873356,0.631132194126644
1500,118,36260728,-2138.16946645017,-1986.03572579358,-1986.77766698919,4327.53147560997,4074.45653700642,4068.62719901056,-253.074938603541,-5.8293379958659,TRUE,TRUE,-0.560147623841655,3.81297180295636,0.437297613016564,0.562702386983436,-2138.16946645017,-1986.03564176818,-1986.26370896836,4327.53147560997,4074.45636895562,4067.5992829689,-253.075106654343,-6.85708598672227,TRUE,TRUE,-0.560035750725611,3.81303747864069,0.437317529386617,0.562682470613383
1500,119,36260729,-2156.76734402962,-2007.54730463855,-2004.26302632202,4364.72723076887,4117.47969469637,4103.59791767621,-247.247536072496,-13.8817770201586,TRUE,TRUE,-0.627087549653957,3.75604441607617,0.39159987906987,0.608400120930131,-2156.76734402957,-2007.54723430108,-2003.38053399994,4364.72723076877,4117.47955402142,4101.83293303205,-247.247676747349,-15.6466209893688,TRUE,TRUE,-0.628031831177168,3.75542947052793,0.391429043772687,0.608570956227313
1500,12,36260622,-2230.79975478883,-2050.93756353834,-2051.90635118605,4512.79205228729,4204.26021249595,4198.88456740428,-308.531839791344,-5.37564509166259,TRUE,TRUE,-0.493547299234549,3.80411183475608,0.45576510542487,0.54423489457513,-2230.79975478883,-2050.93753465051,-2051.53163365022,4512.79205228729,4204.26015472028,4198.13513233262,-308.531897567012,-6.12502238765683,TRUE,TRUE,-0.493385718443345,3.8042597330091,0.4558009437935,0.5441990562065
1500,120,36260730,-2173.28270798764,-2013.94558904648,-2013.96460847292,4397.75795868491,4130.27626351222,4123.00108197802,-267.481695172696,-7.27518153419624,TRUE,TRUE,-0.499035162340443,3.7723472657499,0.450740320932352,0.549259679067648,-2173.28270798764,-2013.94554084757,-2013.69401672788,4397.75795868491,4130.2761671144,4122.45989848794,-267.481791570514,-7.81626862646135,TRUE,TRUE,-0.499216335904663,3.77243201290502,0.450736342767021,0.549263657232979
1500,121,36260731,-2190.29863802487,-2028.41875940039,-2028.99671450516,4431.78981875937,4159.22260422004,4153.0652940425,-272.56721453933,-6.15731017753933,TRUE,TRUE,-0.487993911637242,3.8116790663192,0.455660082923794,0.544339917076206,-2190.29863802487,-2028.41872616963,-2028.9893108516,4431.78981875937,4159.22253775853,4153.05048673538,-272.567281000836,-6.17205102314983,TRUE,TRUE,-0.487970645404313,3.81169928956037,0.455665403237368,0.544334596762632
